"files","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"fob1 phb1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00592712578704077,0.00258805420992716,72.5999889955349,10.5168958985265,7.14309208497904,0.981932555510593,0.0862078027484612,0.0218590924306914,32.2416666666667,12.8921550413587,"Weib=3",NA,0.404026485899537,0.0698032835187574,0.00579745066480405,-159,322,2.78263087766494,36.2218565984274,-157.666666666667,319.333333333333
"fob1 phb2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0028587703354961,0.000519524368901153,40.4831741534415,3.31733691215041,7.84684887648782,0.0359964660975172,0.169884094216283,0.0138495918239856,26.1583333333333,8.35606541751125,"<2=2:Weib=1",NA,0.319922787563516,0.123548148283274,0.00318943776404068,-141.433333333333,286.666666666667,3.60758858779935,29.0218252660631,-140.9,285.666666666667
"fob1 pmr1_MATalpha_temp30_media_0.05% D_n46.csv",46,0.0446270594031637,0.0192019931092258,40.9041637419043,34.643988207793,5.24685857369402,2.95226233110512,0.345142871287948,0.428103326567082,8.95652173913043,5.66667401132736,"Weib=3",NA,0.633635411509778,0.0870044478408493,0.0584920977116843,-140.966666666667,286,1.68685320622181,10.0787318969318,-138.533333333333,281
"fob1 pnc1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00360081474667156,0.00011146471973491,77.5349161355699,3.269116958536,7.72541277164766,0.199805481875079,0.0868035915596701,0.00306674121999452,36.7625,14.4455646218622,"<2=2:Weib=1",NA,0.392898518471052,0.0644908263450911,0.00425344842840615,-327.4,658.666666666667,2.79351815082565,41.2939909596066,-325.9,656
"fob1 rad53_MATalpha_temp30_media_0.05% D_n34.csv",34,0.129166802747671,0.0214790556762501,40.9003377591983,17.6746649513184,6.74313057560756,0.121268909151521,0.156410821550562,0.0556052302722104,4.53921568627451,3.16605141277436,"<2=1:Weib=2",NA,0.696667623000249,0.135340313857377,0.133797790492128,-82.3,168.333333333333,1.53525078524605,5.05946860202011,-80.9,166
"fob1 rei1 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00394536008944553,0.000462219575470971,75.4592807319733,6.32942108006143,6.01749048623142,0.00267722006330985,0.0668174885983099,0.0058128316533819,44.775,17.92190903618,"Gomp=3",NA,0.400050928242809,0.0665816955241435,0.00210424969627656,-167.933333333333,340,2.82137013461454,50.0690422834601,-172.366666666667,348.666666666667
"fob1 rpl31a sir2_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00172211494990974,0.000283375076852232,40.9122821463094,3.80767576011224,6.01867057238535,0.00217998895301186,0.123415541332363,0.012033603462145,42.4375,11.4463160036251,"Gomp=3",NA,0.269805846334932,0.122943876960336,0.000384272199961101,-296,596.333333333333,4.73695051496505,46.3186601104919,-306.066666666667,616.333333333333
"fob1 rpn4_MATalpha_temp30_media_0.05% D_n39.csv",39,0.0112348715009816,0.00132560206605383,54.1646500940406,7.00107882030258,7.61399329348474,0.133643047229808,0.123577934432366,0.0170545336267501,18.7094017094017,8.78566657038484,"Weib=3",NA,0.469098999298917,0.0930586200172559,0.0134707871806035,-139.366666666667,282.666666666667,2.33052781118457,21.1645579818769,-137.966666666667,280
"fob1 sch9 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00286630960225833,0.00126336398715246,68.4953101189218,16.6829225504024,6.01779172639242,0.00433871881180339,0.0762328688542181,0.0184985302513832,49.4333333333333,17.032571140511,"Gomp=3",NA,0.348531174100895,0.0759565916062774,0.00131173399015241,-164.833333333333,333.666666666667,3.51169135285036,54.5755655733058,-170,344
"fob1 sch9_MATalpha_temp30_media_0.05% D_n60.csv",60,0.00154303363425276,0.000244027672855296,44.1236054469267,3.47156200731849,6.01776533556748,0.00192204122492316,0.114210943028608,0.00934812787930862,49.2277777777778,9.70761452276731,"<2=1:Weib=2",NA,0.197356592850624,0.113799007270873,0.000265329865057448,-222,447.666666666667,5.90482912358363,53.0799171721252,-220.433333333333,445
"fob1 sir2 snf1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0100564652853149,0.00610193222749485,106.993261446598,33.1836003686147,6.6462614742758,1.10993204800155,0.0577434324882827,0.0267851449070539,32.7666666666667,15.1211217410196,"Weib=3",NA,0.466401155985219,0.0495969251356038,0.00913707207521695,-165.466666666667,335,2.38735253915885,36.9480966965663,-162.766666666667,329.666666666667
"fob1 sir2 tor1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00429242540180401,0.000575207340186163,81.4222309635495,6.20203895350234,7.89345228556518,0.0550706001704302,0.0850342070684836,0.00731599038667862,34.8875,13.5570759218568,"Weib=3",NA,0.388291751349749,0.061578210371412,0.00544755311742392,-325.633333333333,655.333333333333,2.79464857394597,39.1858454103721,-320.366666666667,644.666666666667
"fob1 sir2_MATalpha_temp30_media_0.005% D_n80.csv",80,0.00290930570577431,0.000304139757607184,69.3445170483223,5.41549229522941,6.7520479182274,0.630183744381722,0.0828284484024629,0.00369997541922318,42.95,16.4407700804103,"Gomp=3",NA,0.383017912809417,0.0723564459470457,0.0020023133412484,-329.833333333333,663.666666666667,2.99092978671402,48.0230527707359,-337.533333333333,679
"fob1 sir2_MATalpha_temp30_media_0.05% D_n868.csv",868,0.00380559699165395,0.00020112220670452,87.4213075901199,3.35348289635976,7.60808232997479,0.0805233029058859,0.0756476251623521,0.00237991843399531,39.3582949308756,16.0586302846757,"Weib=3",NA,0.408020888871064,0.0568207723358478,0.00439176323968429,-3639.83333333333,7283.33333333333,2.68310112540212,44.306654122129,-3628.33333333333,7260.66666666667
"fob1 sir3_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00394864860493809,0.00094372655548136,64.5809540986155,2.87182995945427,7.00099382475863,0.85017995878957,0.0927485668830196,0.0107276233418276,35.3833333333333,13.8268346077878,"Gomp=3",NA,0.391132487547428,0.0774541226781322,0.00328172484522407,-159.633333333333,323.333333333333,2.89126376421876,39.6855707567928,-161.166666666667,326.333333333333
"fob1 slm2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00301066087651195,0.000677821894939275,55.045934181041,7.9592343983474,7.64591045338222,0.146058905658522,0.122393105467762,0.017265939926712,32.225,11.1462791038066,"Gomp=1:Weib=2",NA,0.346127486089481,0.0920378938512752,0.00320551401015682,-152.766666666667,309.333333333333,3.27194378840062,35.8775379872846,-152.7,309.333333333333
"fob1 spo7_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00311641380868761,0.00071982214145147,57.1366362007124,6.29833911840555,7.02513088124534,0.87362014153409,0.105260087738558,0.00727323997947703,36.2,12.0690590334743,"<2=1:Gomp=1:Weib=1",NA,0.333437199526334,0.0880835663223928,0.00233425033865419,-311.633333333333,627,3.4530700799444,40.3764612223171,-310.9,626
"fob1 tor1_MATalpha_temp30_media_0.05% D_n60.csv",60,0.0025333362008326,0.000589755835432479,54.4174864032982,4.45676483915626,6.0222412890344,0.00271552252264384,0.0926858262519636,0.00723401359425189,44.0888888888889,14.0854741414835,"Gomp=3",NA,0.319679570266767,0.0922733536117392,0.000946546170993248,-236.6,477,3.85818500493354,48.8065954347179,-242.2,488.333333333333
"fob1 whi5_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00352975731686567,0.00147640455134976,61.8514894130253,10.242619356265,7.56694344515669,0.110775054757173,0.107984711723143,0.0164141723500519,33.375,12.7547788352154,"<2=1:Gomp=2",NA,0.385030370208886,0.0821524518558854,0.00377148349818566,-156.533333333333,317,3.00835183269343,37.3155874039826,-157.8,319.666666666667
"fob1 ybr238c_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00561832629547454,0.000439301034443027,75.3247597824653,5.71291885032342,7.60267927298172,0.0436787591877437,0.0879516600529337,0.00584515310293007,30.4625,13.5362786199759,"<2=1:Gomp=1:Weib=1",NA,0.444399634847953,0.0665462216898096,0.00659092068279185,-320,644,2.43369111527982,34.3476549995908,-320.133333333333,644.333333333333
"fob1_MATalpha_temp30_media_0.05% D_n1490.csv",1490,0.00260653931071525,0.000106433296931758,66.8329489786853,0.772977121753635,7.51600156028879,0.0541933988770775,0.097505043060157,0.00133580004863574,39.4767337807606,13.3898816110948,"Weib=3",NA,0.339190470934818,0.0725616046569661,0.00275708455525048,-6003.6,12011,3.2894045311286,43.9907533681356,-5978,11960
"fob1_MATalpha_temp30_media_SD 0.05% D_n80.csv",80,0.00343473826456901,0.000549985297003215,69.3634693701692,3.7336406225613,6.40300355076561,0.65120668926207,0.0777176854456842,0.00515121744258292,42.8416666666667,16.1994107792691,"Gomp=3",NA,0.378379878401361,0.0721948386352803,0.00202578085831013,-329.233333333333,662.666666666667,3.00000445866874,47.8075215095671,-336.966666666667,678.333333333333
"tor1_MATalpha_temp30_n180_media_0.05% D.csv",180,0.00535153222286228,0.000565623553609491,75.9534319549471,4.3840674377144,7.80422072518187,0.0135498315251159,0.0897824571731319,0.00515466319235869,30.8907407407407,12.4257059856926,"Weib=3",NA,0.402300278856836,0.0658341782845211,0.00665634912291125,-716.8,1437.66666666667,2.68863163100892,34.7922829414718,-704.266666666667,1412.66666666667
