"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YBR005W","YBR005W","verified1","growth1","YBR005W","verified2","growth2","TRUE","nonessential",1320,0
"YBR006W","UGA2","verified1","growth1","UGA2","verified2","growth2","TRUE","nonessential",1321,0
"YBR007C","YBR007C","verified1","growth1","YBR007C","verified2","growth2","TRUE","nonessential",1322,0
"YBR008C","FLR1","verified1","growth1","FLR1","verified2","growth2","TRUE","nonessential",1323,0
"YBR009C","HHF1","verified1","growth1","HHF1","verified2","growth2","TRUE","nonessential",1324,0
"YBR010W","HHT1","verified1","growth1","HHT1","verified2","growth2","TRUE","nonessential",1325,0
"YBR011C","ipp1","verified1","nogrowth1","ipp1","verified2","nogrowth2","TRUE","essential",36,1
"YBR012C","YBR012C","verified1","growth1","YBR012C","verified2","growth2","TRUE","nonessential",1326,0
"YBR013C","YBR013C","verified1","growth1","YBR013C","verified2","growth2","TRUE","nonessential",1327,0
"YBR014C","YBR014C","verified1","growth1","YBR014C","verified2","growth2","TRUE","nonessential",1328,0
"YBR015C","mnn2","verified1","growth1","mnn2","verified2","growth2","TRUE","nonessential",1329,0
"YBR016W","YBR016W","verified1","growth1","YBR016W","verified2","growth2","TRUE","nonessential",1330,0
"YBR017C","KAP104","verified1","nogrowth1","KAP104","verified2","nogrowth2","TRUE","essential",37,1
"YBR018C","gal7","verified1","growth1","gal7","verified2","growth2","TRUE","nonessential",1331,0
"YBR019C","gal10","verified1","growth1","gal10","verified2","growth2","TRUE","nonessential",1332,0
"YBR020W","gal1","verified1","growth1","gal1","verified2","growth2","TRUE","nonessential",1333,0
"YBR021W","fur4","verified1","nogrowth1","fur4","verified2","nogrowth2","TRUE","essential",38,1
"YBR022W","YBR022W","verified1","growth1","YBR022W","verified2","growth2","TRUE","nonessential",1334,0
"YBR023C","chs3","verified1","growth1","chs3","verified2","growth2","TRUE","nonessential",1335,0
"YBR024W","SCO2","verified1","growth1","SCO2","verified2","growth2","TRUE","nonessential",1336,0
"YBR025C","YBR025C","verified1","growth1","YBR025C","verified2","growth2","TRUE","nonessential",1337,0
"YBR026C","MRF1","verified1","growth1","MRF1","verified2","growth2","TRUE","nonessential",1338,0
"YBR027C","YBR027C","verified1","growth1","YBR027C","verified2","growth2","TRUE","nonessential",1339,0
"YBR028C","YBR028C","verified1","growth1","YBR028C","verified2","growth2","TRUE","nonessential",1340,0
"YBR029C","CDS1","verified1","nogrowth1","CDS1","verified2","nogrowth2","TRUE","essential",39,1
"YBR030W","YBR030W","verified1","growth1","YBR030W","verified2","growth2","TRUE","nonessential",1341,0
"YBR031W","RPL4A","verified1","growth1","RPL4A","verified2","growth2","TRUE","nonessential",1342,0
"YBR032W","YBR032W","verified1","growth1","YBR032W","verified2","growth2","TRUE","nonessential",1343,0
"YBR033W","YBR033W","verified1","growth1","YBR033W","verified2","growth2","TRUE","nonessential",1344,0
"YBR034C","HMT1","verified1","growth1","HMT1","verified2","growth2","TRUE","nonessential",1345,0
"YBR035C","PDX3","verified1","growth1","PDX3","verified2","growth2","TRUE","nonessential",1346,0
"YBR036C","CSG2","verified1","growth1","CSG2","verified2","growth2","TRUE","nonessential",1347,0
"YBR037C","SCO1","verified1","growth1","SCO1","verified2","growth2","TRUE","nonessential",1348,0
"YBR038W","CHS2","verified1","nogrowth1","CHS2","verified2","nogrowth2","TRUE","essential",40,1
"YBR039W","ATP3","verified1","nogrowth1","ATP3","verified2","nogrowth2","TRUE","essential",41,1
"YBR040W","FIG1","verified1","growth1","FIG1","verified2","growth2","TRUE","nonessential",1349,0
"YBR041W","FAT1","verified1","growth1","FAT1","verified2","growth2","TRUE","nonessential",1350,0
"YBR042C","YBR042C","verified1","growth1","YBR042C","verified2","growth2","TRUE","nonessential",1351,0
"YBR043C","YBR043C","verified1","growth1","YBR043C","verified2","growth2","TRUE","nonessential",1352,0
"YBR044C","TCM62","verified1","growth1","TCM62","verified2","growth2","TRUE","nonessential",1353,0
"YBR045C","GIP1","verified1","growth1","GIP1","verified2","growth2","TRUE","nonessential",1354,0
"YBR046C","ZTA1","verified1","growth1","ZTA1","verified2","growth2","TRUE","nonessential",1355,0
"YBR047W","YBR047W","verified1","growth1","YBR047W","verified2","growth2","TRUE","nonessential",1356,0
"YBR048W","RPS11B","verified1","growth1","RPS11B","verified2","growth2","TRUE","nonessential",1357,0
