"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"232","YBR033W","YBR033W","verified1","growth1","YBR033W","verified2","growth2",TRUE,"nonessential"
"233","YBR034C","HMT1","verified1","growth1","HMT1","verified2","growth2",TRUE,"nonessential"
"234","YBR035C","PDX3","verified1","growth1","PDX3","verified2","growth2",TRUE,"nonessential"
"235","YBR036C","CSG2","verified1","growth1","CSG2","verified2","growth2",TRUE,"nonessential"
"236","YBR037C","SCO1","verified1","growth1","SCO1","verified2","growth2",TRUE,"nonessential"
"237","YBR038W","CHS2","verified1","nogrowth1","CHS2","verified2","nogrowth2",TRUE,"essential"
"238","YBR039W","ATP3","verified1","nogrowth1","ATP3","verified2","nogrowth2",TRUE,"essential"
"239","YBR040W","FIG1","verified1","growth1","FIG1","verified2","growth2",TRUE,"nonessential"
"240","YBR041W","FAT1","verified1","growth1","FAT1","verified2","growth2",TRUE,"nonessential"
"241","YBR042C","YBR042C","verified1","growth1","YBR042C","verified2","growth2",TRUE,"nonessential"
"242","YBR043C","YBR043C","verified1","growth1","YBR043C","verified2","growth2",TRUE,"nonessential"
"243","YBR044C","TCM62","verified1","growth1","TCM62","verified2","growth2",TRUE,"nonessential"
"244","YBR045C","GIP1","verified1","growth1","GIP1","verified2","growth2",TRUE,"nonessential"
"245","YBR046C","ZTA1","verified1","growth1","ZTA1","verified2","growth2",TRUE,"nonessential"
"246","YBR047W","YBR047W","verified1","growth1","YBR047W","verified2","growth2",TRUE,"nonessential"
"247","YBR048W","RPS11B","verified1","growth1","RPS11B","verified2","growth2",TRUE,"nonessential"
"248","YBR049C","REB1","verified1","nogrowth1","REB1","verified2","nogrowth2",TRUE,"essential"
"249","YBR050C","REG2","verified1","growth1","REG2","verified2","growth2",TRUE,"nonessential"
"250","YBR051W","YBR051W","verified1","growth1","YBR051W","verified2","growth2",TRUE,"nonessential"
"251","YBR052C","YBR052C","verified1","growth1","YBR052C","verified2","growth2",TRUE,"nonessential"
"252","YBR053C","YBR053C","verified1","growth1","YBR053C","verified2","growth2",TRUE,"nonessential"
"253","YBR054W","YRO2","verified1","growth1","YRO2","verified2","growth2",TRUE,"nonessential"
"254","YBR055C","prp6","verified1","nogrowth1","prp6","verified2","nogrowth2",TRUE,"essential"
"255","YBR056W","YBR056W","verified1","growth1","YBR056W","verified2","growth2",TRUE,"nonessential"
"256","YBR057C","MUM2","verified1","growth1","MUM2","verified2","growth2",TRUE,"nonessential"
"257","YBR058C","UBP14","verified1","growth1","UBP14","verified2","growth2",TRUE,"nonessential"
"258","YBR059C","AKL1","verified1","growth1","AKL1","verified2","growth2",TRUE,"nonessential"
"259","YBR060C","ORC2","verified1","nogrowth1","ORC2","verified2","nogrowth2",TRUE,"essential"
"260","YBR061C","YBR061C","verified1","nogrowth1","YBR061C","verified2","nogrowth2",TRUE,"essential"
"261","YBR062C","YBR062C","verified1","growth1","YBR062C","verified2","growth2",TRUE,"nonessential"
"262","YBR063C","YBR063C","verified1","growth1","YBR063C","verified2","growth2",TRUE,"nonessential"
"263","YBR064W","YBR064W","verified1","growth1","YBR064W","verified2","growth2",TRUE,"nonessential"
"264","YBR065C","ECM2","verified1","growth1","ECM2","verified2","growth2",TRUE,"nonessential"
"265","YBR066C","nrg2","verified1","growth1","nrg2","verified2","growth2",TRUE,"nonessential"
