gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
MRP21	YBL090W	2	26	7.22136	3.14119	0.04419	0.99217	0.97503	0.98769	1.01923	0.97919	0.98070
MAP2	YBL091C	2	25	2.66982	1.23120	0.05353	0.88296	0.93649	0.92450	0.89756	0.89191	0.91915
YBL091C-A	YBL091C-A	3	39	8.45694	4.35713	0.04266	0.98009	0.97077	1.00598	0.97201	0.96332	0.98386
RPL32	YBL092W	4	52	6.18074	3.65178	0.04397	0.99416	0.97017	0.99564	0.99914	0.95517	0.99133
ROX3	YBL093C	2	22	17.11783	4.79950	0.14289	0.96028	0.86380	0.95574	0.93810	0.84757	0.81739
YBL094C	YBL094C	4	52	1.71212	0.81563	0.01691	1.00422	0.98986	0.99779	0.99992	0.98893	1.00583
YBL095W	YBL095W	3	39	2.08077	1.01967	0.02677	1.00759	0.98082	0.99961	0.98465	0.98600	0.99454
YBL096C	YBL096C	2	26	7.46900	3.22345	0.03108	1.02617	0.99841	1.02235	1.01242	0.99509	1.00265
BRN1	YBL097W	4	52	1.67642	0.79211	0.01673	0.99909	0.98731	1.00404	1.00188	0.99231	0.99665
YBL098W	YBL098W	3	39	0.65966	0.18265	0.02010	1.00290	0.99531	1.01293	1.00414	0.99783	1.01541
ATP1	YBL099W	4	52	4.32180	2.53558	0.02623	1.00680	0.99528	1.01017	0.98394	0.98944	1.00285
YBL100C	YBL100C	4	52	7.61285	4.43885	0.05957	0.99097	1.00788	1.00007	1.00149	1.02562	1.05054
ECM21	YBL101C	2	26	2.67615	1.25162	0.04836	1.01319	1.01175	1.03595	1.00491	0.98759	1.01539
SFT2	YBL102W	4	52	1.18042	0.47503	0.02095	0.99726	0.99025	0.99863	1.00306	1.00878	1.01120
RTG3	YBL103C	3	35	3.90758	2.04832	0.05306	0.97319	1.00293	1.00024	0.97872	1.00138	1.02625
YBL104C	YBL104C	4	52	0.18816	0.01525	0.00708	1.00962	1.00811	1.00591	1.00502	1.00693	1.00254
pkc1	YBL105C	2	26	3.11407	1.47184	0.02877	1.01262	0.99859	0.98723	1.00517	1.01255	1.01601
SRO77	YBL106C	4	52	0.30075	0.04112	0.00966	0.99811	0.99498	1.00090	0.99124	0.99579	0.99835
YBL107C	YBL107C	4	52	2.21361	1.15035	0.02698	1.00621	0.99922	1.01421	0.98954	0.99862	0.98723
NTH2	YBR001C	4	52	2.01536	1.01735	0.01677	1.01093	1.00553	1.00437	1.00622	1.01148	0.99470
RER2	YBR002C	4	51	3.87753	2.24274	0.04345	1.01912	0.97566	1.01349	0.98688	0.98493	0.97816
COQ1	YBR003W	2	26	1.29669	0.51025	0.01606	1.01925	1.00579	1.02185	1.01704	1.01635	1.00929
YBR004C	YBR004C	2	26	2.74413	1.28640	0.02921	0.99209	0.99935	0.99179	0.97013	0.98906	0.97150
YBR005W	YBR005W	2	26	2.92702	1.37889	0.03552	1.02682	0.99130	1.01348	1.00469	1.01019	1.02170
UGA2	YBR006W	4	52	0.86362	0.28948	0.01950	0.99554	0.98724	0.99686	0.99969	1.00674	1.00231
YBR007C	YBR007C	4	52	2.92153	1.62535	0.02085	1.00519	0.98599	1.00141	0.98691	0.98434	0.98566
FLR1	YBR008C	4	52	4.12629	2.41181	0.02619	1.01129	0.99715	1.00545	0.99553	0.98510	0.98834
HHF1	YBR009C	4	52	2.57263	1.39172	0.02281	0.98956	0.97730	0.99309	0.99850	0.97729	1.00010
HHT1	YBR010W	4	52	2.15228	1.10915	0.03086	0.98396	0.96686	0.98362	0.99773	0.98160	0.99616
ipp1	YBR011C	4	52	2.22155	1.15569	0.03298	1.01365	0.99644	1.01919	0.99895	0.98621	1.01122
YBR012C	YBR012C	4	52	3.71579	2.14820	0.04754	0.99338	0.98205	0.98665	1.00693	0.99109	1.02959
YBR013C	YBR013C	4	52	0.39099	0.06946	0.00975	1.01146	1.00295	1.00908	1.00444	1.00290	1.00170
