gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
YBR014C	YBR014C	2	26	3.16164	1.49522	0.03745	0.97478	0.99009	0.98178	0.97017	1.00762	1.00333
mnn2	YBR015C	4	52	1.02809	0.38340	0.02015	1.00365	0.98479	0.99180	0.99723	0.99916	1.00493
YBR016W	YBR016W	2	26	20.49682	6.13282	0.08826	0.96650	0.99961	0.99286	0.92682	0.98302	1.01508
KAP104	YBR017C	4	52	1.69200	0.80237	0.02511	1.00523	0.99194	1.00880	0.99893	0.99774	1.01705
gal7	YBR018C	2	26	2.87021	1.35033	0.04222	1.00401	0.98752	0.98202	0.98393	0.96179	0.97492
gal10	YBR019C	4	52	7.25824	4.24955	0.06090	1.00460	0.97725	1.02040	0.98210	0.95950	0.99597
gal1	YBR020W	6	78	4.02277	2.52032	0.03043	0.99209	0.99482	0.99771	0.96729	0.97558	0.98513
fur4	YBR021W	4	52	3.16697	1.78849	0.02511	1.00807	0.99175	1.00289	0.98877	0.99810	0.98296
YBR022W	YBR022W	2	26	1.24595	0.48264	0.02081	1.01475	1.01868	1.00981	1.02752	1.02399	1.00671
chs3	YBR023C	2	26	3.61000	1.71021	0.04872	1.02433	1.01337	1.00179	1.04590	1.02674	1.05051
SCO2	YBR024W	4	52	1.15282	0.45815	0.01908	1.00771	1.00066	1.00631	1.01974	1.01116	1.01741
YBR025C	YBR025C	4	52	1.22252	0.50097	0.01438	1.00445	0.99423	1.00471	1.00031	0.99116	0.99033
MRF1	YBR026C	3	33	0.25973	0.03124	0.01010	0.97147	0.96137	0.96320	0.97066	0.96195	0.96754
YBR027C	YBR027C	4	52	2.37705	1.26025	0.04340	1.00613	1.00698	1.01475	0.98064	0.99419	1.02404
YBR028C	YBR028C	4	52	7.51358	4.38622	0.04383	0.99949	0.98322	1.00220	0.98084	0.95837	0.98277
CDS1	YBR029C	4	52	3.16881	1.78971	0.03034	0.99327	0.98319	0.99223	0.98077	0.97152	1.00186
YBR030W	YBR030W	2	26	2.29205	1.05119	0.02579	1.01652	0.99263	1.00252	0.99694	0.99073	0.99566
RPL4A	YBR031W	4	52	6.82281	4.01215	0.03415	1.00197	0.99047	1.00842	0.97732	0.97428	0.97976
YBR032W	YBR032W	2	26	2.04581	0.91950	0.02376	1.02917	1.01584	1.01115	1.02375	1.03491	1.01592
YBR033W	YBR033W	4	52	1.36714	0.59174	0.01638	1.00490	1.00905	1.00818	1.02128	1.01615	1.01704
HMT1	YBR034C	2	26	0.96636	0.33337	0.01220	1.03061	1.01890	1.01841	1.03039	1.01912	1.01931
PDX3	YBR035C	2	26	0.43374	0.08663	0.00831	1.00366	1.00127	0.99693	0.99765	1.00524	1.00171
CSG2	YBR036C	4	52	1.79300	0.86913	0.03065	1.00016	0.99451	0.99219	0.98318	0.98512	1.01383
SCO1	YBR037C	2	26	2.92841	1.37959	0.03857	1.02128	0.99799	1.02940	1.00825	1.00403	0.99083
CHS2	YBR038W	3	38	10.72207	5.17925	0.06824	0.99029	1.01307	0.99452	0.98356	1.01837	1.05179
ATP3	YBR039W	4	52	7.36919	4.30916	0.06262	0.99581	0.95888	0.99033	1.00086	0.93824	0.99834
FIG1	YBR040W	2	26	2.91041	1.37056	0.03543	1.02820	0.99657	1.03200	1.00986	0.99699	1.01197
FAT1	YBR041W	1	13	2.77400	0.90944	0.06253	1.00478	1.00960	0.98514	1.00132	1.00994	1.04767
YBR042C	YBR042C	4	52	0.52079	0.11971	0.01521	1.01487	1.01777	1.01191	1.02389	1.00867	1.02119
YBR043C	YBR043C	2	26	0.56062	0.13741	0.01304	1.01608	1.00597	1.00785	1.01811	1.01779	1.00507
TCM62	YBR044C	4	52	1.14769	0.45503	0.01923	1.00623	1.01830	1.01608	1.00882	1.01474	0.99907
GIP1	YBR045C	4	52	2.55579	1.38041	0.03064	1.00284	0.99548	1.01414	0.98593	0.98351	1.00262
ZTA1	YBR046C	2	26	0.93695	0.31810	0.02396	1.03249	1.02195	1.03328	1.03607	1.02544	1.01211
YBR047W	YBR047W	3	39	2.90237	1.52694	0.04469	0.99226	0.98996	0.99320	1.01297	1.00301	1.03465
RPS11B	YBR048W	4	52	3.94082	2.29333	0.02513	0.98645	1.00929	0.99511	0.99238	1.01158	1.00868
REB1	YBR049C	2	26	3.52825	1.67172	0.05937	0.99924	1.02529	1.01192	1.03618	1.04178	1.05861
REG2	YBR050C	4	52	5.20772	3.08127	0.03347	1.02215	1.00444	1.01979	0.99142	0.98869	0.99517
YBR051W	YBR051W	2	26	3.01717	1.42390	0.03711	1.00004	1.01806	1.01397	1.01521	1.03714	1.02745
YBR052C	YBR052C	2	26	4.05416	1.91393	0.02977	1.01182	1.01378	1.00703	0.98401	1.00592	1.00113
YBR053C	YBR053C	2	26	0.37950	0.06742	0.02061	1.01877	1.00920	1.01994	1.02092	1.02527	1.00466
YRO2	YBR054W	4	52	5.75312	3.40474	0.05113	0.99537	1.00784	0.99349	1.02967	1.03126	1.04462
prp6	YBR055C	4	52	3.30127	1.87721	0.03541	0.99809	1.00944	1.00332	1.03019	1.03350	1.02697
YBR056W	YBR056W	3	39	0.43125	0.08451	0.01739	1.01419	1.01107	1.01155	1.02845	1.01885	1.01424
MUM2	YBR057C	4	50	3.00279	1.66727	0.04133	1.00167	0.98242	1.01281	1.00938	0.99287	1.02375
UBP14	YBR058C	4	52	3.83515	2.22536	0.03200	1.01370	1.01834	1.02493	0.99761	0.99757	0.99293
AKL1	YBR059C	2	26	7.59709	3.26535	0.03811	1.00288	1.00422	1.00738	0.96927	0.97007	1.00372
ORC2	YBR060C	4	52	2.32308	1.22395	0.04397	0.99905	1.02069	1.00118	1.01195	1.00215	1.04302
YBR061C	YBR061C	4	52	0.54522	0.13022	0.01855	1.00451	0.99580	1.01434	1.01028	1.00888	1.00296
YBR062C	YBR062C	4	52	2.69868	1.47631	0.02716	1.00578	0.99082	1.01745	1.00633	0.99675	1.01798
YBR063C	YBR063C	4	52	0.46723	0.09777	0.01304	1.00595	1.00379	1.01177	1.01226	1.01607	1.01683
YBR064W	YBR064W	4	52	2.16718	1.11916	0.03108	1.01295	1.00377	1.01424	1.03485	1.01818	1.01899
ECM2	YBR065C	4	52	2.84038	1.57116	0.02627	0.99268	0.98596	1.00418	0.99382	0.99008	0.97792
nrg2	YBR066C	4	52	2.19463	1.13760	0.01808	0.98649	0.99657	0.99092	0.97971	0.99779	0.98623
TIP1	YBR067C	4	52	1.64946	0.77439	0.01595	1.00766	1.00553	1.00581	0.99183	0.99171	1.00426
BAP2	YBR068C	4	52	0.41737	0.07884	0.00799	0.99317	0.98799	0.99294	0.98950	0.98589	0.99388
TAT1	YBR069C	4	52	0.71490	0.21059	0.01584	0.99660	0.98765	0.98953	0.98076	0.99306	0.99061
YBR070C	YBR070C	2	26	2.51080	1.16614	0.04297	0.98181	0.96998	1.00672	0.97495	0.98113	1.01295
YBR071W	YBR071W	4	52	0.30924	0.04352	0.00901	0.99790	0.99640	0.99961	0.99275	0.99824	0.99059
HSP26	YBR072W	4	52	10.88396	6.03195	0.03504	1.00588	0.99131	1.00019	0.98789	0.98450	0.97084
RDH54	YBR073W	4	52	5.67178	3.35709	0.04916	0.99578	0.98001	1.02000	0.97465	0.97084	1.00951
YBR074W	YBR074W	4	52	0.97905	0.35479	0.01272	1.00865	1.01085	1.00343	1.00224	1.00230	0.99813
YBR075W	YBR075W	5	59	0.31651	0.04545	0.02547	0.97217	0.97762	0.96218	0.98765	0.98430	0.98763
ECM8	YBR076W	4	52	4.15018	2.42700	0.04198	1.00335	0.99225	1.01491	0.97747	0.97293	1.00624
YBR077C	YBR077C	3	39	1.16727	0.45830	0.01940	0.99231	0.99099	0.98511	1.00289	1.00451	1.00268
ECM33	YBR078W	2	26	5.91553	2.67779	0.06605	0.95861	0.93196	0.94968	0.91422	0.89256	0.92929
RPG1	YBR079C	4	52	0.39681	0.07149	0.01126	0.99892	0.99286	0.99251	1.00377	0.99682	0.99922
SEC18	YBR080C	4	52	2.25333	1.17705	0.02314	1.00755	1.00570	1.01924	0.99828	1.00825	0.99610
spt7	YBR081C	3	34	2.82592	1.42993	0.03429	0.99690	0.98332	0.99087	0.99886	0.97199	1.00628
ubc4	YBR082C	2	26	5.68441	2.59007	0.03049	1.00565	1.01247	1.00876	1.00641	1.01571	0.98521
tec1	YBR083W	4	52	0.59036	0.15040	0.01402	1.01425	1.01255	1.00635	1.02037	1.01668	1.01412
RPL19A	YBR084C-A	4	52	4.03947	2.35648	0.03468	0.97253	0.99476	0.97301	0.96864	0.98480	1.00332
mis1	YBR084W	4	52	2.13581	1.09810	0.01705	1.00598	1.00025	1.01360	0.99655	1.00384	1.00195
AAC3	YBR085W	2	26	2.24944	1.02857	0.02304	1.00044	0.99435	0.99753	1.01739	1.01368	1.00407
IST2	YBR086C	4	52	1.82273	0.88885	0.01930	1.01474	1.00011	1.00989	0.99544	1.00422	1.00098
RFC5	YBR087W	4	52	10.19994	5.71983	0.03997	1.01099	0.99766	1.02299	0.98302	0.98938	0.98824
pol30	YBR088C	4	52	3.60861	2.07858	0.03902	1.06260	1.04959	1.04272	1.02994	1.03145	1.02358
YBR089W	YBR089W	4	52	6.40004	3.77627	0.03699	1.00077	1.00235	0.99257	1.02201	1.02527	1.02956
YBR090C	YBR090C	4	52	10.66094	5.93130	0.04838	1.02919	1.03207	1.01052	1.05228	1.04532	1.00389
YBR090C-A	YBR090C-A	4	52	2.78319	1.53291	0.02791	1.01307	0.99331	1.00988	1.00236	0.98516	0.99772
MRS5	YBR091C	4	52	9.58209	5.42889	0.04978	1.00354	0.97355	1.00600	1.00172	0.95623	0.98701
PHO3	YBR092C	4	52	5.94936	3.51882	0.02000	0.99860	1.00208	0.99943	1.01860	1.01766	1.00485
PHO5	YBR093C	4	52	3.93092	2.28698	0.02351	1.00393	1.00619	1.00853	1.01100	1.02097	0.99747
YBR094W	YBR094W	4	52	7.28295	4.26286	0.04408	1.00822	1.00137	0.99685	1.04093	1.02078	1.02429
YBR095C	YBR095C	4	52	20.87421	9.69749	0.10081	0.99692	0.92833	1.01335	0.97838	0.91254	0.94056
YBR096W	YBR096W	2	26	11.77394	4.43628	0.04061	0.99122	1.00690	0.99856	1.01616	1.02762	0.98700
vps15	YBR097W	3	22	2.49196	1.06652	0.13988	0.69494	0.67375	0.81362	0.74601	0.72136	0.69044
MMS4	YBR098W	4	52	1.44347	0.64051	0.01848	1.01461	1.01615	1.01660	1.00272	1.02119	1.00930
YBR099C	YBR099C	4	52	2.01507	1.01715	0.02298	1.01444	1.02128	1.00918	1.01340	1.02672	1.00374
YBR100W	YBR100W	4	52	0.49959	0.11084	0.00856	1.01348	1.00971	1.00840	1.01696	1.01416	1.00883
YBR101C	YBR101C	2	26	1.11960	0.41444	0.02640	0.94358	0.92178	0.94818	0.94386	0.92750	0.93763
EXO84	YBR102C	2	26	4.30711	2.02599	0.03377	1.01410	1.01011	1.00422	1.02601	1.03725	1.00348
SIF2	YBR103W	2	26	7.47666	3.22597	0.09169	0.90458	0.88939	0.85289	0.87347	0.81289	0.84922
YMC2	YBR104W	4	52	2.24816	1.17358	0.02979	1.00508	1.00314	1.01083	1.00931	0.98103	1.00511
VID24	YBR105C	0	0									
PHO88	YBR106W	4	52	2.34610	1.23943	0.02363	0.99691	1.00925	1.00608	1.01877	1.02054	1.01232
IML3	YBR107C	4	52	0.37047	0.06249	0.00880	1.01882	1.01002	1.01650	1.01084	1.01513	1.01208
YBR108W	YBR108W	2	26	2.61922	1.22233	0.04469	1.01634	1.01929	0.99893	1.04362	1.04253	1.02028
cmd1	YBR109C	2	26	7.52679	3.24241	0.04421	1.03432	1.01848	1.03754	0.99334	1.02142	1.01441
alg1	YBR110W	2	26	1.41388	0.57433	0.03058	1.00602	1.01216	1.01828	1.02503	1.03660	1.00734
YSA1	YBR111C	3	33	0.64697	0.17625	0.01880	0.99371	0.99563	1.00666	1.01251	1.01108	0.99413
cyc8	YBR112C	4	52	4.80254	2.83480	0.02745	1.00700	0.99397	1.02142	1.01499	0.99428	1.00443
YBR113W	YBR113W	4	52	2.27568	1.19208	0.02554	1.01383	1.00019	1.01992	1.02573	1.01117	1.00554
rad16	YBR114W	4	52	0.81675	0.26391	0.01659	1.00726	1.01855	1.02385	1.02126	1.01588	1.02121
lys2	YBR115C	4	52	1.26095	0.52485	0.02431	1.01145	1.00567	1.02445	1.01549	1.01398	1.00014
YBR116C	YBR116C	4	52	2.34480	1.23856	0.02623	1.01343	1.01093	1.02001	1.02610	1.01789	0.99987
TKL2	YBR117C	4	52	5.43062	3.21461	0.02876	1.00288	1.00967	1.00681	1.02916	1.03164	1.00366
TEF2	YBR118W	3	24	2.13834	0.93292	0.10918	0.71318	0.63316	0.69656	0.72791	0.61873	0.65774
MUD1	YBR119W	4	52	22.00385	10.03374	0.09184	0.96951	0.90149	0.97518	0.98631	0.94360	0.99333
CBP6	YBR120C	4	52	0.88288	0.30016	0.01888	1.01771	1.01752	1.03210	1.01861	1.01322	1.01872
GRS1	YBR121C	4	52	2.90521	1.61446	0.04033	1.04296	1.03117	1.01439	1.02754	1.02383	1.00263
MRPL36	YBR122C	0	0									
TFC1	YBR123C	3	39	3.31813	1.77660	0.03539	1.00849	1.01296	1.01497	1.04388	1.04349	1.02246
YBR124W	YBR124W	4	52	1.07925	0.41374	0.02554	1.01659	1.00773	1.03327	1.01701	1.01905	1.01694
PTC4	YBR125C	4	52	1.80751	0.87875	0.02680	1.04290	1.03316	1.02240	1.04879	1.03684	1.02199
TPS1	YBR126C	4	52	5.27703	3.12290	0.04168	1.03447	1.00830	1.02659	1.00632	0.99278	1.01464
VMA2	YBR127C	4	52	1.67340	0.79012	0.01839	1.02345	1.00506	1.01826	1.02330	1.01857	1.00844
APG14	YBR128C	4	52	2.54438	1.37274	0.02768	1.02879	1.01662	1.03337	1.01804	1.00569	1.01601
OPY1	YBR129C	4	52	6.68075	3.93349	0.04534	1.00703	0.96685	0.99705	0.98807	0.96169	0.96533
SHE3	YBR130C	4	52	2.91537	1.62124	0.02974	1.02223	1.00500	1.02885	1.02128	1.00184	0.99911
CCZ1	YBR131W	2	26	0.87670	0.28719	0.03069	1.01872	1.01193	1.01619	1.04262	1.03684	1.01653
AGP2	YBR132C	4	52	2.49513	1.33964	0.04342	1.01816	1.01249	1.02625	1.03298	1.01077	1.05419
HSL7	YBR133C	2	26	7.48737	3.22949	0.09563	0.96889	0.92815	0.99766	0.97192	0.90203	0.93657
YBR134W	YBR134W	4	51	1.98174	0.99248	0.03364	0.99538	1.02269	1.01953	1.00827	1.02591	1.02902
cks1	YBR135W	4	52	3.22558	1.82726	0.02984	0.98984	0.99877	0.98692	1.00809	1.01676	0.99569
MEC1	YBR136W	4	52	1.55521	0.71278	0.01406	1.00428	1.00648	0.99326	1.00675	1.00732	0.99723
YBR137W	YBR137W	4	52	4.72930	2.78969	0.05793	0.98898	0.99395	0.98833	1.03284	1.01432	1.04626
HDR1	YBR138C	4	52	0.95866	0.34303	0.02107	0.99256	0.99907	0.99744	0.97800	0.99386	0.99116
YBR139W	YBR139W	3	39	0.45130	0.09208	0.01745	0.98791	0.98966	0.99268	0.98343	0.98097	0.99842
ira1	YBR140C	4	52	4.38970	2.57829	0.02573	1.00217	1.00191	1.00591	1.00307	1.00235	0.98017
YBR141C	YBR141C	4	52	0.99277	0.36275	0.01896	0.99869	1.00741	1.00008	1.00981	1.00999	1.01765
mak5	YBR142W	4	52	3.09336	1.73969	0.03161	0.99083	0.98784	1.00963	0.98816	0.98184	1.01345
sup45	YBR143C	4	51	0.82491	0.26818	0.02259	0.99206	0.99568	0.99567	1.00085	0.99051	1.01309
YBR144C	YBR144C	4	52	1.62108	0.75579	0.02309	0.99086	1.00089	0.99999	1.01266	1.00772	1.01395
ADH5	YBR145W	4	52	0.40432	0.07414	0.01321	0.99729	0.99785	0.99840	0.99928	1.00316	1.01050
MRPS9	YBR146W	4	52	8.51583	4.90526	0.07000	1.00748	0.97678	1.00569	1.00392	0.93747	0.97068
YBR147W	YBR147W	4	52	1.15796	0.46129	0.01469	1.00017	1.01078	1.00917	0.99902	1.01370	1.00248
YSW1	YBR148W	3	39	1.23534	0.49854	0.02674	1.01252	1.02522	1.00302	0.99848	1.01064	1.01702
ARA1	YBR149W	4	52	2.36257	1.25051	0.02392	1.01001	1.01823	1.01203	0.99431	1.00627	1.00439
TBS1	YBR150C	4	52	1.25032	0.51823	0.01516	0.99987	1.01154	1.00419	1.01148	1.01503	1.00410
APD1	YBR151W	4	52	0.46068	0.09520	0.01243	1.00993	1.00399	1.00650	1.01350	1.00107	1.00969
SPP381	YBR152W	2	26	1.04404	0.37419	0.02274	1.01936	1.00359	1.02633	1.01961	1.01829	1.00489
rib7	YBR153W	4	52	0.85406	0.28422	0.01471	1.01557	1.00989	1.01742	1.00271	1.00865	1.00482
rpb5	YBR154C	2	26	21.31107	6.25941	0.06714	0.92595	0.99309	0.92973	0.94174	0.99047	0.98893
CNS1	YBR155W	4	52	4.64968	2.74045	0.02444	1.01222	1.00846	1.00893	0.98959	1.00279	0.98778
SLI15	YBR156C	3	39	2.05086	1.00101	0.05295	1.00409	0.95946	0.98976	0.95908	0.95113	0.98926
ICS2	YBR157C	3	39	0.41154	0.07731	0.01446	0.99570	1.00443	0.99505	1.00402	1.00370	1.00951
CST13	YBR158W	4	52	2.30807	1.21386	0.02776	0.99893	1.00557	1.00855	0.99202	0.99806	1.01978
YBR159W	YBR159W	4	50	3.55916	2.02918	0.03267	0.96804	0.95886	0.98161	0.97306	0.94894	0.97506
cdc28	YBR160W	4	52	2.26536	1.18514	0.02500	1.01559	1.02987	1.02391	1.00487	1.00961	1.02913
YBR161W	YBR161W	2	26	7.22271	3.14165	0.02882	1.00805	1.01262	1.01155	1.03572	1.03486	1.00690
TOS1	YBR162C	2	26	2.58087	1.20251	0.04407	0.99235	0.99384	1.01074	0.96668	0.97720	0.98740
YSY6	YBR162W-A	4	52	2.74003	1.50402	0.01663	1.00320	1.00869	1.00853	0.99481	1.00468	0.99207
DEM1	YBR163W	2	26	4.88378	2.27125	0.03180	1.01511	1.01575	1.00634	1.03814	1.03541	1.00677
ARL1	YBR164C	4	52	3.81436	2.21195	0.03856	1.00218	1.00030	1.01143	1.02966	1.01238	1.03886
UBS1	YBR165W	4	52	0.32320	0.04760	0.01187	0.99664	0.99157	1.00127	0.99953	1.00333	1.00344
tyr1	YBR166C	4	52	3.33414	1.89886	0.03954	1.00058	1.00435	1.01658	0.97705	0.99989	1.00783
POP7	YBR167C	3	39	1.02810	0.37777	0.01688	1.01526	1.00789	1.02252	1.02400	1.00712	1.00828
YBR168W	YBR168W	4	52	0.16161	0.01092	0.00719	1.00153	1.00160	1.00594	1.00384	1.00651	1.00872
SSE2	YBR169C	4	52	2.66474	1.45355	0.02561	0.99621	1.00864	1.00187	0.99581	1.01387	0.98826
NPL4	YBR170C	3	39	0.76406	0.23441	0.02330	1.00661	1.00844	0.99581	1.01031	1.01024	1.01912
SEC66	YBR171W	4	52	0.84148	0.27733	0.02135	0.99198	0.99938	1.00012	0.99628	1.00277	1.01334
SMY2	YBR172C	4	52	0.12847	0.00652	0.00742	0.98962	0.99167	0.99654	0.98911	0.99531	0.99223
UMP1	YBR173C	4	52	3.12789	1.76260	0.02873	0.96902	0.96717	0.99080	0.97710	0.98321	0.99590
YBR174C	YBR174C	4	52	1.07943	0.41385	0.02003	1.00396	1.00012	1.00079	1.00976	1.00998	1.02014
YBR175W	YBR175W	4	52	11.00347	6.08545	0.04751	1.01665	1.01317	1.04255	1.01727	0.99558	0.99504
ECM31	YBR176W	2	26	0.89365	0.29583	0.02012	0.98517	0.98651	0.98851	0.99829	0.99256	1.00529
EHT1	YBR177C	4	52	5.12304	3.03020	0.06025	1.00046	0.97875	1.00596	0.98323	0.94570	0.98127
YBR178W	YBR178W	2	26	1.71182	0.73780	0.01883	1.00083	0.99246	1.00026	0.98755	0.98200	0.98356
FZO1	YBR179C	4	52	2.53803	1.36847	0.02340	1.00552	1.00190	0.99527	0.99613	0.99310	0.98212
DTR1	YBR180W	4	52	3.71233	2.14596	0.03017	1.00407	0.97977	0.98837	0.98294	0.97390	0.98684
RPS6B	YBR181C	2	18	11.37180	3.14311	0.15372	0.88172	1.00813	0.85441	0.93712	0.98487	0.99565
SMP1	YBR182C	2	26	0.66455	0.18373	0.03032	0.99028	0.97663	0.98865	0.98447	0.97790	1.00695
YPC1	YBR183W	4	52	3.91891	2.27926	0.03084	0.99832	0.99109	1.00636	0.97551	0.98510	0.99599
YBR184W	YBR184W	3	39	6.27229	3.36807	0.03277	1.00789	0.97915	1.00708	0.98504	0.97512	0.97851
MBA1	YBR185C	4	52	18.06972	8.80559	0.04185	1.01371	1.00211	1.00186	0.99078	0.97908	0.97185
PCH2	YBR186W	4	52	7.39441	4.32267	0.02624	1.00704	1.00117	1.01026	0.99507	0.98455	0.98402
YBR187W	YBR187W	4	41	13.15677	6.18464	0.07541	1.01240	0.99181	1.01295	0.98652	0.93753	0.96678
NTC20	YBR188C	4	52	1.13400	0.44671	0.01817	1.00970	0.99896	1.00135	1.00639	0.99153	0.99937
RPS9B	YBR189W	6	78	29.58828	14.90824	0.06142	0.97208	1.01150	0.96534	0.95008	0.99786	0.99902
YBR190W	YBR190W	4	52	19.19749	9.17466	0.06340	0.90433	0.96187	0.90390	0.89978	0.91976	0.96318
RPL21A	YBR191W	6	78	41.97718	18.49291	0.08421	0.88033	0.96455	0.90191	0.89325	0.94102	0.94992
RIM2	YBR192W	2	26	14.35057	5.01745	0.08851	0.98818	0.94904	1.00781	0.96262	0.91930	0.93642
MED8	YBR193C	4	52	8.89182	5.09313	0.03714	1.00344	0.98405	1.02084	0.98822	0.98370	1.00322
YBR194W	YBR194W	4	52	1.72230	0.82235	0.01423	1.01878	1.00455	1.00594	1.01852	1.00465	1.01062
msi1	YBR195C	4	52	2.46535	1.31963	0.02104	1.00252	0.99178	1.00557	0.99010	0.99855	1.01113
pgi1	YBR196C	4	52	6.85043	4.02737	0.04067	1.01176	0.98133	0.99957	0.97109	0.98353	0.98761
YBR197C	YBR197C	4	52	12.63595	6.78756	0.04223	0.99050	0.97710	1.00667	0.96730	0.96445	0.96997
TAF90	YBR198C	4	52	5.36428	3.17509	0.03441	0.98284	0.98629	0.99320	0.95879	0.96445	0.97718
KTR4	YBR199W	4	52	5.60242	3.31631	0.02072	0.99869	1.00449	0.99456	1.01039	1.00638	0.98967
BEM1	YBR200W	2	26	4.88622	2.27226	0.03129	1.00554	0.99766	0.99672	0.97425	0.98842	0.98332
DER1	YBR201W	2	26	4.70590	2.19706	0.03512	1.01066	0.99289	1.00862	0.98156	0.97554	1.00123
CDC47	YBR202W	4	52	9.95121	5.60376	0.04449	0.98631	1.01870	0.97738	0.97473	1.01341	1.01922
YBR203W	YBR203W	4	52	0.82057	0.26598	0.01568	0.98836	0.98907	1.00281	0.99605	0.98713	0.99836
YBR204C	YBR204C	4	52	2.39552	1.27267	0.03134	1.00569	0.99265	1.00769	0.97635	0.99009	0.98537
KTR3	YBR205W	4	52	6.66611	3.92535	0.03499	1.01599	0.98604	1.02103	0.99445	0.98873	0.99526
YBR206W	YBR206W	2	26	16.40348	5.42615	0.06578	1.03022	0.99540	1.00469	0.97594	0.96444	0.98861
FTH1	YBR207W	4	52	5.44725	3.22450	0.04424	1.00458	0.98086	1.01722	0.98284	0.97298	0.98885
"DUR1,2"	YBR208C	4	52	5.66088	3.35069	0.04569	1.01480	0.99163	1.01919	1.00341	0.97351	0.99210
YBR209W	YBR209W	4	52	7.45431	4.35466	0.04227	1.01479	0.99015	1.02061	0.98943	0.97834	0.99992
YBR210W	YBR210W	4	52	1.89133	0.93449	0.01432	1.00933	1.00760	1.00431	1.00251	0.99501	0.99776
AME1	YBR211C	4	52	1.15468	0.45929	0.01271	1.00846	1.00074	1.00850	0.99925	1.00051	1.01196
NGR1	YBR212W	4	52	3.23661	1.83455	0.03302	1.02435	1.00051	1.02146	0.99362	0.99133	1.01521
met8	YBR213W	3	39	10.85127	5.29914	0.11228	0.98660	0.99547	0.99485	1.01652	1.02057	1.09888
SDS24	YBR214W	4	52	2.81197	1.55217	0.04371	1.01358	1.01180	1.03659	1.00156	0.99289	1.01822
HPC2	YBR215W	4	52	8.22444	4.75714	0.04413	1.00922	0.98762	1.00442	0.99196	0.96509	0.99713
YBR216C	YBR216C	2	26	0.47024	0.10047	0.01318	0.99804	1.00192	0.99173	0.99890	1.00492	0.99885
APG12	YBR217W	4	52	3.83296	2.22395	0.02675	1.01330	1.00263	1.00608	0.98903	0.99542	0.98656
PYC2	YBR218C	4	52	4.55591	2.68221	0.02984	1.02370	1.00455	1.02359	0.99878	0.99386	1.00408
YBR219C	YBR219C	4	52	8.26837	4.77962	0.03805	1.01291	0.99393	1.01519	0.98379	0.98064	0.97714
YBR220C	YBR220C	4	52	3.55680	2.04480	0.05060	1.01002	1.00076	0.99540	1.02104	1.00832	1.04600
pdb1	YBR221C	2	26	3.09908	1.46446	0.06400	1.01011	0.98411	1.02569	0.99316	0.96169	1.01539
FAT2	YBR222C	3	39	1.15754	0.45258	0.02645	1.00438	0.99059	1.01704	0.99185	0.99285	1.01240
YBR223C	YBR223C	2	26	6.02690	2.71941	0.11957	0.97925	0.99729	0.98626	1.01965	1.03780	1.09882
YBR224W	YBR224W	2	26	2.56774	1.19572	0.03312	1.01579	0.99886	0.99617	0.99705	0.99442	1.02753
YBR225W	YBR225W	2	26	8.25327	3.47347	0.04000	1.00168	0.99840	0.98609	0.97598	0.99907	0.96168
YBR226C	YBR226C	4	52	4.75534	2.80575	0.03497	1.00104	0.98615	1.00806	0.98137	0.97976	1.01473
MCX1	YBR227C	3	39	1.25286	0.50898	0.02938	1.00933	0.98815	1.00725	1.00245	0.99185	1.01753
YBR228W	YBR228W	3	39	2.10835	1.03689	0.02723	1.00060	0.99172	1.00183	0.98386	0.97933	1.00656
ROT2	YBR229C	4	52	4.15989	2.43317	0.03765	1.01074	1.00536	1.02082	0.99711	0.98318	0.99738
YBR230C	YBR230C	4	52	0.34889	0.05549	0.01306	1.00372	1.00139	1.01059	0.99935	1.00053	0.99753
aor1	YBR231C	2	26	7.65070	3.28276	0.04274	0.99065	0.97731	1.00027	0.95979	0.97836	0.95753
YBR232C	YBR232C	4	52	1.58141	0.72985	0.02121	1.02188	1.01579	1.02631	1.00837	1.00511	1.00920
PBP2	YBR233W	4	52	5.93571	3.51092	0.04230	1.01722	0.99275	1.00490	0.99369	0.97492	1.01264
ARC40	YBR234C	4	52	2.65217	1.44511	0.03141	1.01509	1.00468	1.01675	0.99792	0.98535	1.00758
YBR235W	YBR235W	2	26	10.68868	4.16346	0.03620	1.00009	1.01315	1.00254	1.01019	1.02478	0.98858
ABD1	YBR236C	4	52	1.87477	0.92346	0.02012	1.00823	1.00198	1.01318	0.99306	1.00099	0.99574
PRP5	YBR237W	4	52	2.81797	1.55618	0.03671	1.01532	1.00393	0.99869	0.98430	0.98652	0.97861
YBR238C	YBR238C	0	0									
YBR239C	YBR239C	4	52	1.06967	0.40803	0.01293	1.00616	1.01234	1.00677	1.01703	1.00411	1.00785
THI2	YBR240C	4	52	8.60334	4.94931	0.05001	1.00167	1.02485	0.99508	1.00854	1.03895	1.04509
YBR241C	YBR241C	4	52	3.28342	1.86544	0.03691	1.01802	1.00308	1.01938	0.99943	0.99107	1.02798
YBR242W	YBR242W	3	39	5.32827	2.89412	0.04711	1.01514	0.99267	1.02221	1.00521	0.99171	1.03881
alg7	YBR243C	4	52	1.61284	0.75039	0.02454	1.01545	1.00277	1.01338	1.00692	0.99091	1.00929
