,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
268,YDR083W,RRP8,29.5,-40,27.4,-50,0.58,22.6,-40,21.1,-20,0.59,26,-80,25.6,-70,9.60E-01
269,YGR056W,RSC1,28,-25,25.3,-25,0.45,0,0,0,0,0,28,-25,25.3,-25,4.50E-01
270,YLR357W,RSC2,20.4,-10,22.7,-10,0.54,0,0,0,0,0,20.4,-10,22.7,-10,5.40E-01
271,YDR289C,RTT103,24.3,-15,29.1,-20,0.095,0,0,0,0,0,24.3,-15,29.1,-20,9.50E-02
272,YHR154W,RTT107,18.3,-15,25,-25,0.042,0,0,0,0,0,18.3,-15,25,-25,4.20E-02
273,YOR138C,RUP1,21.8,-5,32.8,-5,0.31,0,0,0,0,0,21.8,-5,32.8,-5,3.10E-01
274,YDR129C,SAC6,14.7,-30,25.8,-60,2.4e-05,0,0,0,0,0,14.7,-30,25.8,-60,2.40E-05
275,YDR502C,SAM2,26.3,-35,24.5,-35,0.54,0,0,0,0,0,26.3,-35,24.5,-35,5.40E-01
276,YHR103W,SBE22,24.4,-15,25,-25,0.79,0,0,0,0,0,24.4,-15,25,-25,7.90E-01
277,YOR165W,SEY1,16.6,-5,32.8,-5,0.11,0,0,0,0,0,16.6,-5,32.8,-5,1.10E-01
278,YOR140W,SFL1,23.9,-25,28.4,-25,0.085,0,0,0,0,0,23.9,-25,28.4,-25,8.50E-02
279,YBR258C,SHG1,22.5,-10,29.6,-10,0.034,0,0,0,0,0,22.5,-10,29.6,-10,3.40E-02
280,YBR263W,SHM1,28.5,-15,28.5,-15,0.69,0,0,0,0,0,28.5,-15,28.5,-15,6.90E-01
281,YDR078C,SHU2,24.8,-10,29.6,-10,0.33,0,0,0,0,0,24.8,-10,29.6,-10,3.30E-01
282,YGR112W,SHY1,14.8,-5,32.8,-5,0.056,0,0,0,0,0,14.8,-5,32.8,-5,5.60E-02
283,YOR137C,SIA1,29.8,-25,28.4,-25,0.96,0,0,0,0,0,29.8,-25,28.4,-25,9.60E-01
284,YMR175W,SIP18,18.6,-20,28.2,-30,0.00056,0,0,0,0,0,18.6,-20,28.2,-30,5.60E-04
285,YKR101W,SIR1,19.4,-5,28.8,-5,0.46,0,0,0,0,0,19.4,-5,28.8,-5,4.60E-01
286,YDL047W,SIT4,25.9,-80,28.3,-85,0.23,0,0,0,0,0,25.9,-80,28.3,-85,2.30E-01
287,YDR515W,SLF1,25.5,-20,24.4,-20,0.94,0,0,0,0,0,25.5,-20,24.4,-20,9.40E-01
288,YHR030C,SLT2,24.2,-45,27,-45,0.086,0,0,0,0,0,24.2,-45,27,-45,8.60E-02
289,YBR228W,SLX1,25.9,-35,24.1,-40,0.51,0,0,0,0,0,25.9,-35,24.1,-40,5.10E-01
290,YGR081C,SLX9,22.2,-10,29.3,-10,0.18,0,0,0,0,0,22.2,-10,29.3,-10,1.80E-01
291,YHR050W,SMF2,23.9,-25,26.3,-25,0.11,0,0,0,0,0,23.9,-25,26.3,-25,1.10E-01
292,YDR477W,SNF1,38.8,-40,25.5,-40,2.4e-06,26.1,100,27,-120,0.35,29.8,-140,26.6,-160,4.90E-02
293,YDR073W,SNF11,30.5,-30,28.4,-30,0.69,0,0,0,0,0,30.5,-30,28.4,-30,6.90E-01
294,YHR163W,SOL3,28.9,-15,25,-25,0.75,0,0,0,0,0,28.9,-15,25,-25,7.50E-01
295,YAL047C,SPC72,4,-5,28.8,-5,0.0079,0,0,0,0,0,4,-5,28.8,-5,7.90E-03
296,YHR136C,SPL2,15.6,-5,22.4,-5,0.13,0,0,0,0,0,15.6,-5,22.4,-5,1.30E-01
297,YHR152W,SPO12,24.2,-5,22.4,-5,1,0,0,0,0,0,24.2,-5,22.4,-5,1.00E+00
298,YHR014W,SPO13,28.3,-35,26.5,-45,0.41,0,0,0,0,0,28.3,-35,26.5,-45,4.10E-01
299,YHR153C,SPO16,17,-5,22.4,-5,0.31,0,0,0,0,0,17,-5,22.4,-5,3.10E-01
300,YDR104C,SPO71,27.3,-15,30.1,-20,0.39,0,0,0,0,0,27.3,-15,30.1,-20,3.90E-01
301,YGR059W,SPR3,28.8,-25,25.3,-25,0.24,0,0,0,0,0,28.8,-25,25.3,-25,2.40E-01
302,YHR139C,SPS100,27.5,-15,25,-25,0.96,0,0,0,0,0,27.5,-15,25,-25,9.60E-01
303,YGR104C,SRB5,22.2,-5,32.8,-5,0.21,0,0,0,0,0,22.2,-5,32.8,-5,2.10E-01
304,YKR091W,SRL3,18.4,-5,28.8,-5,0.25,0,0,0,0,0,18.4,-5,28.8,-5,2.50E-01
305,YKR092C,SRP40,22.6,-25,24.2,-25,0.61,0,0,0,0,0,22.6,-25,24.2,-25,6.10E-01
306,YDR293C,SSD1,26.7,-105,27.5,-105,0.49,0,0,0,0,0,26.7,-105,27.5,-105,4.90E-01
307,YHR066W,SSF1,38.5,-20,24.6,-65,0.0021,27.4,-40,25.3,-60,0.33,31.1,-60,24.9,-125,6.10E-03
308,YDR312W,SSF2,22.3,-10,27.4,-10,0.47,0,0,0,0,0,22.3,-10,27.4,-10,4.70E-01
309,YLR452C,SST2,31,-25,25.7,-25,0.068,22.7,-40,21.1,-20,0.39,25.9,-65,23.6,-45,3.00E-01
310,YMR053C,STB2,29,-40,24.4,-40,0.31,20.6,-60,21.2,-40,0.52,24,-100,22.8,-80,8.80E-01
311,YHR178W,STB5,20.2,-5,22.4,-5,0.4,0,0,0,0,0,20.2,-5,22.4,-5,4.00E-01
312,YLR362W,STE11,22.7,-45,24.9,-50,0.16,23.1,-20,30.9,-20,0.0068,22.8,-65,26.6,-70,1.20E-02
313,YLR389C,STE23,24.2,-15,23.7,-15,0.95,0,0,0,0,0,24.2,-15,23.7,-15,9.50E-01
314,YLR375W,STP3,24.8,-25,25.4,-35,0.24,0,0,0,0,0,24.8,-25,25.4,-35,2.40E-01
315,YMR054W,STV1,24.1,-25,25.7,-40,0.46,0,0,0,0,0,24.1,-25,25.7,-40,4.60E-01
316,YDR310C,SUM1,23.7,-10,27.4,-10,0.45,0,0,0,0,0,23.7,-10,27.4,-10,4.50E-01
317,YDR297W,SUR2,29.8,-25,25.9,-25,0.068,0,0,0,0,0,29.8,-25,25.9,-25,6.80E-02
318,YLR372W,SUR4,27.6,-35,24.5,-35,0.36,0,0,0,0,0,27.6,-35,24.5,-35,3.60E-01
319,YDR320C,SWA2,26.2,-15,29.1,-20,0.29,0,0,0,0,0,26.2,-15,29.1,-20,2.90E-01
320,YDR126W,SWF1,19.7,-20,27.8,-30,0.002,0,0,0,0,0,19.7,-20,27.8,-30,2.00E-03
321,YDR260C,SWM1,31.1,-20,26.9,-35,0.19,0,0,0,0,0,31.1,-20,26.9,-35,1.90E-01
322,YOR179C,SYC1,28.3,-25,28.4,-25,0.86,0,0,0,0,0,28.3,-25,28.4,-25,8.60E-01
323,YLR354C,TAL1,29.2,-45,24.5,-95,0.013,0,0,0,0,0,29.2,-45,24.5,-95,1.30E-02
324,YBR223C,TDP1,22.4,-10,29.6,-10,0.18,0,0,0,0,0,22.4,-10,29.6,-10,1.80E-01
