gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
MRP21	YBL090W	2	22	0.59233	0.17168	0.05190	1.03858	1.03055	1.04029	1.06790	1.01600
MAP2	YBL091C	2	22	7.48303	2.79561	0.07833	0.92447	0.86311	0.89075	0.93730	0.94145
YBL091C-A	YBL091C-A	3	33	0.82498	0.28256	0.02513	1.00336	1.01945	1.02800	1.02849	1.00816
RPL32	YBL092W	4	44	1.42358	0.60799	0.04139	1.00705	1.00438	1.00133	1.03932	0.99793
ROX3	YBL093C	2	17	1.42301	0.52912	0.08146	0.96521	0.95163	0.88374	0.91527	0.93525
YBL094C	YBL094C	4	40	1.85672	0.84414	0.03930	1.00346	1.01495	1.04276	1.04097	1.01021
YBL095W	YBL095W	3	33	0.73790	0.24036	0.02028	0.99548	1.00888	0.99309	0.99014	0.98860
YBL096C	YBL096C	2	22	1.92955	0.80213	0.03332	1.01064	1.03037	1.01976	1.00096	0.99705
BRN1	YBL097W	4	44	2.24694	1.07666	0.05806	1.02297	1.02565	1.06189	1.04778	1.00383
YBL098W	YBL098W	3	30	2.09598	0.93656	0.04247	1.02492	1.01180	1.04691	1.02921	1.00445
ATP1	YBL099W	4	44	1.32496	0.55291	0.03461	0.97341	0.98523	0.95062	0.96054	0.97720
YBL100C	YBL100C	4	44	3.28338	1.66009	0.05845	1.02910	1.03245	1.07863	1.08755	1.04456
ECM21	YBL101C	2	22	1.35762	0.53022	0.03865	0.99986	0.98484	1.02349	1.01166	1.00668
SFT2	YBL102W	2	22	1.06757	0.39077	0.01611	0.98580	0.98439	0.97392	0.98279	0.96969
RTG3	YBL103C	3	30	3.03642	1.40872	0.08619	1.00297	1.01355	1.08916	1.03346	1.02767
YBL104C	YBL104C	4	44	0.46781	0.11981	0.02490	1.02397	1.01405	1.00923	1.00998	0.99907
pkc1	YBL105C	2	22	0.68366	0.21174	0.04528	1.05288	1.03374	1.05245	1.06944	1.02416
SRO77	YBL106C	4	44	1.37899	0.58303	0.04301	1.04116	1.04250	1.05534	1.05011	1.01233
YBL107C	YBL107C	4	44	1.25600	0.51472	0.03560	0.98677	0.99151	0.95591	0.96391	0.97521
NTH2	YBR001C	4	44	0.84585	0.29605	0.02625	1.02574	1.01726	1.00768	1.00819	0.99949
RER2	YBR002C	4	44	0.23363	0.03737	0.02361	1.01332	1.01018	0.98971	1.00125	1.00062
COQ1	YBR003W	3	33	2.88814	1.36756	0.05437	1.01640	1.01220	0.96203	0.98119	1.01182
YBR004C	YBR004C	2	22	2.80803	1.19614	0.05102	0.97278	0.97742	0.92641	0.92663	0.97028
YBR005W	YBR005W	2	22	1.30834	0.50650	0.02675	1.02254	1.01651	1.04040	1.03983	1.01365
UGA2	YBR006W	4	44	0.31233	0.06159	0.02072	1.02675	1.02040	1.02277	1.03610	1.01539
YBR007C	YBR007C	4	44	0.82849	0.28725	0.02282	1.00083	0.99662	1.00434	1.00064	0.98152
FLR1	YBR008C	4	44	0.08626	0.00606	0.01257	1.00329	0.99336	0.99072	0.99296	0.99497
HHF1	YBR009C	4	44	3.53744	1.79953	0.05899	1.01532	1.01855	1.06342	1.05675	1.00443
HHT1	YBR010W	4	38	0.96340	0.35419	0.04523	1.00177	0.98075	1.02598	0.99924	0.99143
ipp1	YBR011C	4	44	0.13027	0.01308	0.00893	1.01150	1.00459	1.00276	1.01169	1.00444
YBR012C	YBR012C	4	44	3.10625	1.56192	0.05004	1.03565	1.03173	1.08118	1.08178	1.03416
YBR013C	YBR013C	4	44	0.68419	0.21633	0.03030	1.02830	1.02820	1.04109	1.04875	1.01844
YBR014C	YBR014C	2	20	0.75369	0.24169	0.06178	1.01775	1.02511	0.96996	1.01337	1.03174
mnn2	YBR015C	3	33	1.37861	0.56899	0.03728	1.01040	1.00320	1.03233	1.04048	1.00625
YBR016W	YBR016W	2	22	1.72268	0.70482	0.06871	1.03366	1.03767	0.99587	1.02495	1.06458
KAP104	YBR017C	4	44	1.11568	0.43801	0.03959	1.02181	1.01650	1.02987	1.05609	1.02475
gal7	YBR018C	2	22	2.21709	0.93473	0.03291	0.97911	0.98377	0.95086	0.97609	0.96449
